Software Used:	Crystal Instruments EDM software Ver.3.1.5.6
Instrument Used:	CoCo
Test Notes:	Default Test
Data Acquisition Time:	2015/10/30 21:22:57
Signal Exported Time:	2015/10/30 21:34:41
User:	Unknown User
Signal Name:	ch3
Sample Rate:	25600
Block Size:	37888
NVH Type:	Equidistant
Acquisition/Calculation Method:	Undefined
X Axis Start Value:	0.00000000E+000
X Axis Step:	3.90625000E-005
X Axis Unit:	Time (Seconds)
Y Axis Unit:	(V)
X:Time (Seconds)	Y:(V)
0.00000000E+000	-7.16309063E-003
3.90625000E-005	-6.96519436E-003
7.81250000E-005	-6.85789296E-003
1.17187500E-004	-7.36804632E-003
1.56250000E-004	-7.12120533E-003
1.95312500E-004	-6.55716565E-003
2.34375000E-004	-7.19979918E-003
2.73437500E-004	-6.98143104E-003
3.12500000E-004	-6.75012032E-003
3.51562500E-004	-6.99578458E-003
3.90625000E-004	-6.90024858E-003
4.29687500E-004	-6.88942429E-003
4.68750000E-004	-6.80353586E-003
5.07812500E-004	-6.92048529E-003
5.46875000E-004	-6.52445760E-003
5.85937500E-004	-4.54431865E-003
6.25000000E-004	-4.12240671E-003
6.64062500E-004	-6.05124794E-003
7.03125000E-004	-6.34562178E-003
7.42187500E-004	-6.32632617E-003
7.81250000E-004	-7.11085182E-003
8.20312500E-004	-6.92001497E-003
8.59375000E-004	-6.32397318E-003
8.98437500E-004	-7.19038676E-003
9.37500000E-004	-7.19768135E-003
9.76562500E-004	-6.32373756E-003
1.01562500E-003	-7.33580859E-003
1.05468750E-003	-7.18897488E-003
1.09375000E-003	-6.46539452E-003
1.13281250E-003	-7.05908332E-003
1.17187500E-003	-7.20426999E-003
1.21093750E-003	-6.33762078E-003
1.25000000E-003	-6.90989662E-003
1.28906250E-003	-7.41510838E-003
1.32812500E-003	-6.46257075E-003
1.36718750E-003	-6.82377256E-003
1.40625000E-003	-7.23509584E-003
1.44531250E-003	-6.71882415E-003
1.48437500E-003	-6.77482830E-003
1.52343750E-003	-7.31227780E-003
1.56250000E-003	-5.76369837E-003
1.60156250E-003	-4.09369869E-003
1.64062500E-003	-4.69797663E-003
1.67968750E-003	-5.92229795E-003
1.71875000E-003	-6.33103214E-003
1.75781250E-003	-6.60399254E-003
1.79687500E-003	-6.70517609E-003
1.83593750E-003	-6.83153793E-003
1.87500000E-003	-6.80165365E-003
1.91406250E-003	-6.92683877E-003
1.95312500E-003	-7.04002334E-003
1.99218750E-003	-6.56798994E-003
2.03125000E-003	-6.88142376E-003
2.07031250E-003	-7.15061929E-003
2.10937500E-003	-6.59505092E-003
2.14843750E-003	-6.77388674E-003
2.18750000E-003	-7.23156612E-003
2.22656250E-003	-6.52704621E-003
2.26562500E-003	-6.56281319E-003
2.30468750E-003	-7.59629766E-003
2.34375000E-003	-6.86306972E-003
2.38281250E-003	-6.70799986E-003
2.42187500E-003	-7.45887589E-003
2.46093750E-003	-6.78541698E-003
2.50000000E-003	-6.39903685E-003
2.53906250E-003	-7.34427990E-003
2.57812500E-003	-5.36649395E-003
2.61718750E-003	-3.69414152E-003
2.65625000E-003	-5.49050281E-003
2.69531250E-003	-6.19737571E-003
2.73437500E-003	-6.09007431E-003
2.77343750E-003	-6.90048421E-003
2.81250000E-003	-6.82189036E-003
2.85156250E-003	-6.63693622E-003
2.89062500E-003	-6.98754890E-003
2.92968750E-003	-7.01366831E-003
2.96875000E-003	-6.74659107E-003
3.00781250E-003	-6.82753790E-003
3.04687500E-003	-6.84306817E-003
3.08593750E-003	-6.93225116E-003
3.12500000E-003	-6.72376575E-003
3.16406250E-003	-6.87624700E-003
3.20312500E-003	-7.10496912E-003
3.24218750E-003	-6.56846073E-003
3.28125000E-003	-6.64470159E-003
3.32031250E-003	-7.35039776E-003
3.35937500E-003	-6.51951600E-003
3.39843750E-003	-6.61481684E-003
3.43750000E-003	-7.37416418E-003
3.47656250E-003	-6.61105197E-003
3.51562500E-003	-6.51928084E-003
3.55468750E-003	-7.24874390E-003
3.59375000E-003	-4.63091303E-003
3.63281250E-003	-3.63060762E-003
3.67187500E-003	-5.76558104E-003
3.71093750E-003	-6.11007540E-003
3.75000000E-003	-6.17690384E-003
3.78906250E-003	-6.91460259E-003
3.82812500E-003	-6.71200035E-003
3.86718750E-003	-6.67505665E-003
3.90625000E-003	-6.91930903E-003
3.94531250E-003	-6.80588931E-003
3.98437500E-003	-6.82024285E-003
4.02343750E-003	-6.62940601E-003
4.06250000E-003	-6.82965573E-003
4.10156250E-003	-7.12285237E-003
4.14062500E-003	-6.59105042E-003
4.17968750E-003	-6.82942010E-003
4.21875000E-003	-7.25980336E-003
4.25781250E-003	-6.27502846E-003
4.29687500E-003	-6.77082781E-003
4.33593750E-003	-7.43605103E-003
4.37500000E-003	-6.30820729E-003
4.41406250E-003	-6.57528453E-003
4.45312500E-003	-7.42757972E-003
4.49218750E-003	-6.35103369E-003
4.53125000E-003	-6.53928239E-003
4.57031250E-003	-6.94448687E-003
4.60937500E-003	-4.48996201E-003
4.64843750E-003	-4.22759075E-003
4.68750000E-003	-6.40444923E-003
4.72656250E-003	-6.21714210E-003
4.76562500E-003	-6.11572294E-003
4.80468750E-003	-7.06355413E-003
4.84375000E-003	-6.84895087E-003
4.88281250E-003	-6.48398418E-003
4.92187500E-003	-7.10732210E-003
4.96093750E-003	-6.92613283E-003
5.00000000E-003	-6.76282728E-003
5.03906250E-003	-6.86165784E-003
5.07812500E-003	-6.84730383E-003
5.11718750E-003	-6.85789296E-003
5.15625000E-003	-6.83883252E-003
5.19531250E-003	-6.90801395E-003
5.23437500E-003	-7.13320635E-003
5.27343750E-003	-6.67058537E-003
5.31250000E-003	-6.77906349E-003
5.35156250E-003	-7.01978663E-003
5.39062500E-003	-6.70870580E-003
5.42968750E-003	-6.73129549E-003
5.46875000E-003	-7.23533100E-003
5.50781250E-003	-6.74776733E-003
5.54687500E-003	-6.41150866E-003
5.58593750E-003	-6.33150293E-003
5.62500000E-003	-4.30265488E-003
5.66406250E-003	-4.34665801E-003
5.70312500E-003	-6.53881161E-003
5.74218750E-003	-6.47574849E-003
5.78125000E-003	-6.08466193E-003
5.82031250E-003	-7.19438680E-003
5.85937500E-003	-7.12520583E-003
5.89843750E-003	-6.34562178E-003
5.93750000E-003	-7.14544253E-003
5.97656250E-003	-7.20144622E-003
6.01562500E-003	-6.49904413E-003
6.05468750E-003	-7.02002179E-003
6.09375000E-003	-7.14991335E-003
6.13281250E-003	-6.59434497E-003
6.17187500E-003	-6.95672305E-003
6.21093750E-003	-7.10567506E-003
6.25000000E-003	-6.66329078E-003
6.28906250E-003	-6.78612292E-003
6.32812500E-003	-7.11979344E-003
6.36718750E-003	-6.99225534E-003
6.40625000E-003	-6.76565105E-003
6.44531250E-003	-6.89201290E-003
6.48437500E-003	-7.15767872E-003
6.52343750E-003	-7.00260885E-003
6.56250000E-003	-6.63434761E-003
6.60156250E-003	-5.50062116E-003
6.64062500E-003	-4.25465126E-003
6.67968750E-003	-4.90199076E-003
6.71875000E-003	-6.33950345E-003
6.75781250E-003	-6.88801240E-003
6.79687500E-003	-6.16537360E-003
6.83593750E-003	-7.45416991E-003
6.87500000E-003	-7.71042332E-003
6.91406250E-003	-6.57410827E-003
6.95312500E-003	-7.00096181E-003
6.99218750E-003	-7.37157604E-003
7.03125000E-003	-6.46563014E-003
7.07031250E-003	-6.88871834E-003
7.10937500E-003	-7.28568761E-003
7.14843750E-003	-6.47716038E-003
7.18750000E-003	-6.75741537E-003
7.22656250E-003	-7.31039513E-003
7.26562500E-003	-6.68446906E-003
7.30468750E-003	-6.77271048E-003
7.34375000E-003	-7.25415582E-003
7.38281250E-003	-6.68305717E-003
7.42187500E-003	-6.64964272E-003
7.46093750E-003	-7.07037840E-003
7.50000000E-003	-6.86777569E-003
7.53906250E-003	-6.92730956E-003
7.57812500E-003	-6.63270056E-003
7.61718750E-003	-4.79704235E-003
7.65625000E-003	-4.40595625E-003
7.69531250E-003	-5.52532868E-003
7.73437500E-003	-6.25949772E-003
7.77343750E-003	-6.70776470E-003
7.81250000E-003	-6.43574540E-003
7.85156250E-003	-6.77906349E-003
7.89062500E-003	-7.10920431E-003
